term,frequency,example_headline_1,example_headline_2,in_vader_lexicon,selected_for_custom_lexicon
nasdaq,1836,"FDA Nod For EPZM, RARE, Court Rules In MYL's Favor, Ocuphire To Hop Onto Nasdaq, ALPN Soars","US STOCKS-Apple, Amazon set to knock S&P 500, Nasdaq off record peak",False,False
companies,1813,3 High-Yielding U.S. Pharmaceutical Companies to Consider,Pharmaceutical Companies Gain in the Fight Against Covid-–9,False,False
down,1799,Biogen (BIIB) Stock Down Despite Q1 Earnings & Sales Beat,"ImmunoGen (IMGN) Q1 Earnings and Sales Miss, Shares Down",False,False
watch,1798,5 High-Yield Dividend Stocks to Watch in the Coronavirus Sell-Off,Stocks To Watch: AbbVie Sees Relative Strength Rating Jump To 83,False,False
zacks,1764,"The Zacks Analyst Blog Highlights: Macy's, AbbVie, Pfizer and New Residential Investment","Agilysys, Manpower, Eli Lilly and Company, Innoviva and AbbVie highlighted as Zacks Bull and Bear of the Day",False,False
intc,1764,"After Hours Most Active for Mar 17, 2023 : LUMN, F, HBI, ABBV, IBM, PEB, INTC, GOOG, AAPL, HBAN, AMZN, VSAT","After Hours Most Active for Jul 7, 2023 : INTC, AAPL, BAC, KO, TLT, QQQ, GOOGL, PLTR, RIVN, ABBV, HL, RLJ",False,False
here's,1756,Here's Why Editas Could Beat Intellia to a CRISPR Therapy,Here's Exactly Why Warren Buffett Loaded Up on Big Pharma Stocks,False,False
warren,1744,Here Are the Stocks Warren Buffett Has Been Buying and Selling,Warren Buffett Bought 4 Pharma Giants in Q3,False,False
price,1739,"Mizuho Initiates Coverage On AbbVie with Buy Rating, Announces $96 Price Target","UPDATE: Mizuho Initiates Coverage On AbbVie with Buy Rating, Announces $96 Price Target As Firm Notes The 'Allergan Acquisition Brings In Multiple New Growth Drivers and Helps Mitigate Humira Erosion.'",False,False
bank,1730,"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Buys Bank of America Corp, The Walt Disney ...","Regions Financial Corp Buys Truist Financial Corp, Royal Bank of Canada, Johnson & Johnson, ...",False,False
global,1694,AbbVie To Create New Global Business Upon Completion Of Allergan Acquisition,Abbvie Says Partnering With Global Authorities To Determine Efficacy Of HIV Drug In Treating COVID-19,False,False
target,1684,"Mizuho Initiates Coverage On AbbVie with Buy Rating, Announces $96 Price Target","UPDATE: Mizuho Initiates Coverage On AbbVie with Buy Rating, Announces $96 Price Target As Firm Notes The 'Allergan Acquisition Brings In Multiple New Growth Drivers and Helps Mitigate Humira Erosion.'",False,False
analysis,1645,AbbVie: 4-year Follow-up Analysis Of Phase 3 Venetoclax Trial Continues To Show Longer PFS In CLL,AbbVie: New Analysis Show RINVOQ's Potential To Alleviate Itch And Rash In Atopic Dermatitis,False,False
deal,1626,"AbbVie, Allergan Receive Final Europan Approval To Close Deal","AbbVie, Allergan Report Signing Of Consent Decree Deal With FTC Staff Related To Deal",False,False
covid,1620,Abbvie Says Partnering With Global Authorities To Determine Efficacy Of HIV Drug In Treating COVID-19,AbbVie Partnering with Global Authorities to Determine Efficacy of HIV Drug in Treating COVID-–9,False,False
detected,1619,"NOBL, TGT, ABBV, ADM: Large Inflows Detected at ETF","IVW, ABBV, CHTR, COST: Large Outflows Detected at ETF",False,False
hold,1598,7 Biotech Stocks to Buy and Hold in 2020,Societe Generale Downgrades AbbVie to Hold,False,False
buffett,1576,"Buffett Owns Teva Stock, But Should You?",Here Are the Stocks Warren Buffett Has Been Buying and Selling,False,False
buzz-u,1552,"BUZZ-U.S. STOCKS ON THE MOVE-DuPont, Occidental Petroleum, Safe-T Group","BUZZ-U.S. STOCKS ON THE MOVE-Co-Diagnostics, Xeris Pharma, Cyclacel Pharma",False,False
high,1544,High Drug Prices Remains a Top Issue in Democratic Debates,Insiders Were Right: ABBV Makes New 52-Week High,False,False
income,1507,"Know These 3 Facts to Avoid Paying Half Your Retirement Income to the IRS - March 18, 2020","Improve Your Retirement Income with These 3 Top-Ranked Dividend Stocks - March 18, 2020",False,False
financial,1488,"How Trading Your Own Retirement Can Fleece Your Financial Future - March 17, 2020","Verity & Verity, LLC Buys Truist Financial Corp, Gilead Sciences Inc, JM Smucker Co, Sells ...",False,False
fed,1473,"Walgreens fed opioid addiction, Florida says as trial starts",US STOCKS-Wall St edges lower on Fed fears; Tyson Foods slides,False,False
company,1472,AbbVie shares are trading higher after the company announced Allergan entered into definitive agreements to divest brazikumab and Zenpep. The agreements are apart of the approval process for AbbVie's acquisition of Allergan.,AbbVie shares are trading higher after the company reported better-than-expected Q4 EPS and sales results. The company also issued FY20 EPS guidance above analyst estimates and sales growth of ~8%.,False,False
highlights,1470,"The Zacks Analyst Blog Highlights: Macy's, AbbVie, Pfizer and New Residential Investment","The Zacks Analyst Blog Highlights: Procter & Gamble, AbbVie, QUALCOMM, PepsiCo and CME Group",False,False
dis,1434,"Notable Tuesday Option Activity: ADM, DIS, ABBV","OEF, PFE, DIS, ABT: ETF Inflow Alert",False,False
rise,1425,AbbVie Beats Q1 Estimates as U.S. Humira Sales Rise 13.7%,"US STOCKS-Energy, financials help Wall Street rise from bruising week",False,False
chip,1417,Should You Buy This Blue Chip Biotech Stock?,"Finally, a Reasonable Price For This Healthcare Blue Chip",False,False
sales,1384,From JP Morgan Healthcare Conference: AbbVie CEO Sees Humira Sales Starting To Slow Heading Into FY22,"AbbVie Q4 EPS $2.21 Beats $2.19 Estimate, Sales $8.704B Beat $8.7B Estimate",False,False
corp,1377,"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Buys Bank of America Corp, The Walt Disney ...","Spirit Of America Management Corp Buys Hess Midstream Operations LP, Blackstone Group Inc, TC ...",False,False
maintains,1350,"Mizuho Maintains Buy on AbbVie, Raises Price Target to $104","Cowen & Co. Maintains Outperform on AbbVie, Raises Price Target to $105",False,False
results,1305,AbbVie Reports Successful Trial Results for Arthritis Drug,AbbVie Reports Estimate-Beating Fourth-Quarter Earnings Results,False,False
markets,1301,"Despite Buffett Bullishness, Stock Markets Are Falling",3 Solid Stocks That Can Be Smart Picks Even in Choppy Markets,False,False
