date,sector,finance_adjusted_sentiment_index,lagged_finance_adjusted_sentiment,rolling_lagged_finance_sentiment
2020-01-03,Comm,0.09590476190476191,0.0,0.0
2020-01-03,Consumer,-0.09830980952380951,0.0,0.0
2020-01-03,Energy,0.06405147049441785,0.0,0.0
2020-01-03,Financials,0.09264952380952382,0.0,0.0
2020-01-03,Healthcare,0.23177523809523812,0.0,0.0
2020-01-03,Industrials,-0.02385666666666666,0.0,0.0
2020-01-03,Materials,0.14273124999999998,0.0,0.0
2020-01-03,RealEstate,0.0020850000000000035,0.0,0.0
2020-01-03,Tech,0.08576517857142857,0.0,0.0
2020-01-03,Utilities,0.21524999999999997,0.0,0.0
2020-01-06,Comm,0.17742083333333333,0.09590476190476191,0.047952380952380955
2020-01-06,Consumer,0.11009323529411766,-0.09830980952380951,-0.049154904761904754
2020-01-06,Energy,0.08512151515151514,0.06405147049441785,0.03202573524720893
2020-01-06,Financials,0.26090599999999997,0.09264952380952382,0.04632476190476191
2020-01-06,Healthcare,0.34138,0.23177523809523812,0.11588761904761906
2020-01-06,Industrials,0.079825,-0.02385666666666666,-0.01192833333333333
2020-01-06,Materials,-0.063515,0.14273124999999998,0.07136562499999999
2020-01-06,RealEstate,0.16466666666666666,0.0020850000000000035,0.0010425000000000018
2020-01-06,Tech,-0.013116666666666676,0.08576517857142857,0.042882589285714284
2020-01-06,Utilities,0.023812500000000014,0.21524999999999997,0.10762499999999998
2020-01-07,Comm,0.2987444444444444,0.17742083333333333,0.09110853174603174
2020-01-07,Consumer,0.1490885,0.11009323529411766,0.003927808590102717
2020-01-07,Energy,0.09490555555555556,0.08512151515151514,0.049724328548644336
2020-01-07,Financials,0.138025,0.26090599999999997,0.11785184126984127
2020-01-07,Healthcare,0.11490400000000003,0.34138,0.19105174603174604
2020-01-07,Industrials,0.032289285714285715,0.079825,0.01865611111111111
2020-01-07,Materials,0.13726666666666665,-0.063515,0.026405416666666657
2020-01-07,RealEstate,0.034999999999999996,0.16466666666666666,0.055583888888888884
2020-01-07,Tech,0.017004464285714286,-0.013116666666666676,0.02421617063492063
2020-01-07,Utilities,0.6669,0.023812500000000014,0.0796875
2020-01-08,Comm,0.1993525,0.2987444444444444,0.14301750992063492
2020-01-08,Consumer,0.07908392857142857,0.1490885,0.040217981442577044
2020-01-08,Energy,-0.006374999999999987,0.09490555555555556,0.06101963530037214
2020-01-08,Financials,0.47435,0.138025,0.12289513095238096
2020-01-08,Healthcare,0.26863333333333334,0.11490400000000003,0.17201480952380954
2020-01-08,Industrials,0.03399365079365079,0.032289285714285715,0.02206440476190476
2020-01-08,Materials,-0.10209999999999997,0.13726666666666665,0.05412072916666666
2020-01-08,RealEstate,-0.10079999999999999,0.034999999999999996,0.050437916666666666
2020-01-08,Tech,0.101943125,0.017004464285714286,0.022413244047619046
2020-01-08,Utilities,0.26306666666666667,0.6669,0.226490625
2020-01-09,Comm,0.16718,0.1993525,0.15428450793650791
2020-01-09,Consumer,0.2880594444444445,0.07908392857142857,0.04799117086834735
2020-01-09,Energy,0.11426000000000001,-0.006374999999999987,0.04754070824029771
2020-01-09,Financials,0.2631293333333333,0.47435,0.19318610476190476
2020-01-09,Healthcare,0.18237777777777778,0.26863333333333334,0.1913385142857143
2020-01-09,Industrials,0.027716666666666667,0.03399365079365079,0.024450253968253965
2020-01-09,Materials,0.04686666666666667,-0.10209999999999997,0.022876583333333332
2020-01-09,RealEstate,0.0,-0.10079999999999999,0.02019033333333333
2020-01-09,Tech,0.10328777777777778,0.101943125,0.03831922023809524
2020-01-09,Utilities,0.08274999999999999,0.26306666666666667,0.23380583333333335
2020-01-10,Comm,0.04542916666666667,0.16718,0.1564337566137566
2020-01-10,Consumer,-0.002255999999999994,0.2880594444444445,0.08800254979769688
2020-01-10,Energy,0.07536200000000001,0.11426000000000001,0.0586605902002481
2020-01-10,Financials,0.22269166666666665,0.2631293333333333,0.2048433095238095
2020-01-10,Healthcare,0.24378000000000002,0.18237777777777778,0.18984505820105824
2020-01-10,Industrials,0.09671666666666667,0.027716666666666667,0.02499465608465608
2020-01-10,Materials,-0.09965,0.04686666666666667,0.026874930555555555
2020-01-10,RealEstate,-0.07012,0.0,0.016825277777777776
2020-01-10,Tech,0.3160325,0.10328777777777778,0.04914731316137566
2020-01-10,Utilities,0.17945416666666666,0.08274999999999999,0.20862986111111112
2020-01-13,Comm,0.007172916666666675,0.04542916666666667,0.14057595804988662
2020-01-13,Consumer,0.09342814285714285,-0.002255999999999994,0.07510847125516874
2020-01-13,Energy,0.1361435,0.07536200000000001,0.06104650588592694
2020-01-13,Financials,0.19761857142857142,0.22269166666666665,0.20739307482993197
2020-01-13,Healthcare,0.14285750000000003,0.24378000000000002,0.19755004988662134
2020-01-13,Industrials,0.0882125,0.09671666666666667,0.035240657596371884
2020-01-13,Materials,0.3534611111111111,-0.09965,0.008799940476190477
2020-01-13,RealEstate,0.2594666666666667,-0.07012,0.004404523809523809
2020-01-13,Tech,0.20718241666666665,0.3160325,0.08727376842403627
2020-01-13,Utilities,0.009933333333333336,0.17945416666666666,0.20446190476190476
2020-01-14,Comm,0.10129999999999999,0.007172916666666675,0.12390057787698412
2020-01-14,Consumer,0.05191,0.09342814285714285,0.07739843020541551
2020-01-14,Energy,0.20898499999999998,0.1361435,0.07043363015018608
2020-01-14,Financials,0.03913690476190477,0.19761857142857142,0.2061712619047619
2020-01-14,Healthcare,0.32695833333333335,0.14285750000000003,0.19071348115079367
2020-01-14,Industrials,0.15877166666666667,0.0882125,0.0418621378968254
2020-01-14,Materials,0.06949999999999999,0.3534611111111111,0.051882586805555554
2020-01-14,RealEstate,0.123,0.2594666666666667,0.036287291666666666
2020-01-14,Tech,0.22918666666666665,0.20718241666666665,0.10226234945436508
2020-01-14,Utilities,0.2927166666666667,0.009933333333333336,0.18014583333333334
2020-01-15,Comm,0.0006972222222222194,0.10129999999999999,0.12138940255731923
2020-01-15,Consumer,0.11530166666666666,0.05191,0.07456638240481378
2020-01-15,Energy,0.10683999999999998,0.20898499999999998,0.0858282268001654
2020-01-15,Financials,0.0640388253968254,0.03913690476190477,0.18761188888888888
2020-01-15,Healthcare,0.24076666666666666,0.32695833333333335,0.20585179805996473
2020-01-15,Industrials,-0.08423124999999998,0.15877166666666667,0.05485208553791887
2020-01-15,Materials,0.17965,0.06949999999999999,0.05384007716049383
2020-01-15,RealEstate,0.0315375,0.123,0.04592203703703704
2020-01-15,Tech,0.02621366666666667,0.22918666666666665,0.11636505136684303
2020-01-15,Utilities,0.1219625,0.2927166666666667,0.19265370370370372
2020-01-16,Comm,0.14840416666666667,0.0006972222222222194,0.10932018452380951
2020-01-16,Consumer,0.23214428571428572,0.11530166666666666,0.07863991083099907
2020-01-16,Energy,0.1819952380952381,0.10683999999999998,0.08792940412014885
2020-01-16,Financials,0.14679476923076923,0.0640388253968254,0.17525458253968254
2020-01-16,Healthcare,0.13424375,0.24076666666666666,0.20934328492063492
2020-01-16,Industrials,0.3056666666666667,-0.08423124999999998,0.04094375198412699
2020-01-16,Materials,0.1301,0.17965,0.06642106944444444
2020-01-16,RealEstate,0.26099999999999995,0.0315375,0.04448358333333333
2020-01-16,Tech,0.2492138888888889,0.02621366666666667,0.10734991289682538
2020-01-16,Utilities,0.16139375,0.1219625,0.18558458333333333
2020-01-17,Comm,0.0634,0.14840416666666667,0.1128732738095238
2020-01-17,Consumer,0.08977199999999999,0.23214428571428572,0.09259485400220696
2020-01-17,Energy,0.15210444444444446,0.1819952380952381,0.09648084357242968
2020-01-17,Financials,0.11468,0.14679476923076923,0.17266732678432678
2020-01-17,Healthcare,0.20373888888888889,0.13424375,0.20251605447330448
2020-01-17,Industrials,0.2644166666666667,0.3056666666666667,0.0650094715007215
2020-01-17,Materials,0.34726666666666667,0.1301,0.07221006313131313
2020-01-17,RealEstate,0.22465000000000002,0.26099999999999995,0.06416689393939393
2020-01-17,Tech,0.07929434565434566,0.2492138888888889,0.12024663798701299
2020-01-17,Utilities,0.1613168888888889,0.16139375,0.18338541666666666
2020-01-21,Comm,-0.004008333333333329,0.0634,0.1087505009920635
2020-01-21,Consumer,0.07898704545454546,0.08977199999999999,0.0923596161686897
2020-01-21,Energy,0.15043142857142858,0.15210444444444446,0.10111614364509759
2020-01-21,Financials,0.20158333333333336,0.11468,0.16783504955229955
2020-01-21,Healthcare,0.10457404761904762,0.20373888888888889,0.20261795734126986
