date,sector,sentiment_index,lagged_sentiment_index,rolling_lagged_sentiment
2020-01-03,Comm,0.08685714285714285,0.0,0.0
2020-01-03,Consumer,-0.1025132727272727,0.0,0.0
2020-01-03,Energy,0.055450035087719285,0.0,0.0
2020-01-03,Financials,0.09007809523809525,0.0,0.0
2020-01-03,Healthcare,0.22046571428571432,0.0,0.0
2020-01-03,Industrials,-0.017023333333333335,0.0,0.0
2020-01-03,Materials,0.13148125,0.0,0.0
2020-01-03,RealEstate,-0.027414999999999995,0.0,0.0
2020-01-03,Tech,0.08076517857142856,0.0,0.0
2020-01-03,Utilities,0.18525,0.0,0.0
2020-01-06,Comm,0.1738097222222222,0.08685714285714285,0.04342857142857143
2020-01-06,Consumer,0.10678931372549019,-0.1025132727272727,-0.05125663636363635
2020-01-06,Energy,0.08543969696969697,0.055450035087719285,0.027725017543859642
2020-01-06,Financials,0.284306,0.09007809523809525,0.045039047619047624
2020-01-06,Healthcare,0.32718,0.22046571428571432,0.11023285714285716
2020-01-06,Industrials,0.0735287037037037,-0.017023333333333335,-0.008511666666666667
2020-01-06,Materials,-0.069765,0.13148125,0.065740625
2020-01-06,RealEstate,0.148,-0.027414999999999995,-0.013707499999999997
2020-01-06,Tech,-0.013116666666666676,0.08076517857142856,0.04038258928571428
2020-01-06,Utilities,0.011312500000000003,0.18525,0.092625
2020-01-07,Comm,0.29263333333333336,0.1738097222222222,0.08688895502645504
2020-01-07,Consumer,0.1472385,0.10678931372549019,0.0014253469994058299
2020-01-07,Energy,0.07934999999999999,0.08543969696969697,0.046963244019138754
2020-01-07,Financials,0.140525,0.284306,0.12479469841269841
2020-01-07,Healthcare,0.10863733333333334,0.32718,0.18254857142857142
2020-01-07,Industrials,0.030057142857142855,0.0735287037037037,0.01883512345679012
2020-01-07,Materials,0.12726666666666667,-0.069765,0.020572083333333335
2020-01-07,RealEstate,0.0,0.148,0.040195
2020-01-07,Tech,0.00910267857142857,-0.013116666666666676,0.02254950396825396
2020-01-07,Utilities,0.6369,0.011312500000000003,0.06552083333333333
2020-01-08,Comm,0.1929775,0.29263333333333336,0.1383250496031746
2020-01-08,Consumer,0.0717625,0.1472385,0.03787863524955437
2020-01-08,Energy,-0.018874999999999986,0.07934999999999999,0.055059933014354065
2020-01-08,Financials,0.4676833333333333,0.140525,0.1287272738095238
2020-01-08,Healthcare,0.25715185185185185,0.10863733333333334,0.1640707619047619
2020-01-08,Industrials,0.020342857142857138,0.030057142857142855,0.021640628306878303
2020-01-08,Materials,-0.09959999999999998,0.12726666666666667,0.04724572916666667
2020-01-08,RealEstate,-0.10079999999999999,0.0,0.03014625
2020-01-08,Tech,0.087443125,0.00910267857142857,0.019187797619047615
2020-01-08,Utilities,0.27973333333333333,0.6369,0.208365625
2020-01-09,Comm,0.16018,0.1929775,0.14925553968253968
2020-01-09,Consumer,0.2834562698412698,0.0717625,0.0446554081996435
2020-01-09,Energy,0.10351000000000002,-0.018874999999999986,0.040272946411483254
2020-01-09,Financials,0.26152933333333334,0.4676833333333333,0.1965184857142857
2020-01-09,Healthcare,0.15904444444444446,0.25715185185185185,0.1826869798941799
2020-01-09,Industrials,0.033716666666666666,0.020342857142857138,0.02138107407407407
2020-01-09,Materials,0.04242222222222222,-0.09959999999999998,0.017876583333333338
2020-01-09,RealEstate,0.0,-0.10079999999999999,0.003957000000000002
2020-01-09,Tech,0.09154333333333334,0.087443125,0.03283886309523809
2020-01-09,Utilities,0.074,0.27973333333333333,0.22263916666666667
2020-01-10,Comm,0.03584583333333334,0.16018,0.15107628306878307
2020-01-10,Consumer,0.004144000000000004,0.2834562698412698,0.08445555180658122
2020-01-10,Energy,0.07396200000000001,0.10351000000000002,0.05081245534290271
2020-01-10,Financials,0.21935833333333332,0.26152933333333334,0.20735362698412696
2020-01-10,Healthcare,0.24778000000000003,0.15904444444444446,0.17874655731922398
2020-01-10,Industrials,0.09254999999999998,0.033716666666666666,0.023437006172839503
2020-01-10,Materials,-0.10715,0.04242222222222222,0.02196752314814815
2020-01-10,RealEstate,-0.08412,0.0,0.003297500000000002
2020-01-10,Tech,0.30686583333333334,0.09154333333333334,0.04262294146825396
